date,location,title,categories,source_link
2021-10-11,curacao,Amnesty: Curacao violating rights of Venezuelan migrants,Other,https://apnews.com/article/immigration-amnesty-international-puerto-rico-venezuela-caribbean-a6a729beb35a389f330aa7d436dfb380
2019-08-24,curacao,"Curaco beats Japan 5-4, moves to Little League title game",Sports,https://apnews.com/article/c49b418569214269b37e7e07b505cb58
2019-05-12,curacao,28 to remain on Scientology ship in Curacao in measles scare,Other,https://apnews.com/article/e43fdf0aac3c496b99d9f7dd8a8f502b
2019-05-04,curacao,Curacao officials board Scientology ship in measles case,Other,https://apnews.com/article/b1d6474a090342ce834a500dbdbfd45c
2019-05-03,curacao,Curacao to quarantine cruise ship for measles case,Other,https://apnews.com/article/96f5244fb652416caacc305db8bac7bb
2019-02-19,curacao,"Venezuela shuts sea, air links to Dutch islands amid turmoil",Other,https://apnews.com/article/caribbean-venezuela-south-america-curacao-nicolas-maduro-07b0ab4035ad4cf0ab9cedb805e4a7be
2017-07-17,curacao,Mexico beats Curacao 2-0 to win CONCACAF Group C,Other,https://apnews.com/article/soccer-entertainment-sports-international-soccer-curacao-de5a4b5f50fa478cb2dc8f1153d06b54
2017-07-17,curacao,Mexico beats Curacao 2-0 to win CONCACAF Group C,Other,https://apnews.com/article/soccer-entertainment-sports-international-soccer-curacao-37fd4f44eac24addbe4979bc2cc0bdb4
2014-07-16,curacao,Curacao searches for attackers in airport shooting,Other,https://apnews.com/article/europe-shootings-curacao-4a8765c687254b1698ce2b86d837ea05
2013-05-06,curacao,Curacao politician fatally shot by gunmen at beach,Other,https://apnews.com/article/europe-curacao-9e594e939b5f42a187199d51cd205c04
2024-07-01,ecuador,Mexico eliminated from Copa America as Ecuador earns spot in quarterfinals after 0-0 draw,Culture and Society,https://apnews.com/article/copa-america-mexico-ecuador-f2be379991b7b31a2a823721effab165
2024-06-27,ecuador,Venezuela advances to Copa America quarterfinals with a 1-0 win over Mexico on Rondón goal,Culture and Society,https://apnews.com/article/mexico-venezuela-score-dc03d531f518c26e7edb6cfafe21349a
2024-06-27,ecuador,Ecuador beats Jamaica 3-1 for first Copa America win since 2016 as Reggae Boyz eliminated,Other,https://apnews.com/article/jamaica-ecuador-copa-america-score-8c184e961bb6f21cadf62e5f941c40d5
2024-06-26,ecuador,A timeline of the legal case involving WikiLeaks founder Julian Assange,Other,https://apnews.com/article/julian-assange-wikileaks-timeline-18088045fb2d5dbd1cdd9f3821b35a53
2024-06-25,ecuador,Trial begins in Ecuador over murder of presidential candidate Villavicencio,Political Events,https://apnews.com/article/ecuador-presidential-candidate-murder-trial-2cf1e1f6a5254d9ad261baedb2e9980e
2024-06-27,ecuador,Rainbow flags fly as LGBTQ+ community of Ecuador marches for equal rights,Culture and Society,https://apnews.com/video/ecuador-discrimination-d95e8a1eb2474d9b9e493bca200d74f4
2024-06-27,ecuador,"Rescuers find more victims after landslide in Ecuador, raising death toll to eight",Other,https://apnews.com/video/ecuador-disaster-planning-and-response-quito-building-collapses-0f5832510cd04952ae033183adde95ea
2024-06-27,ecuador,Migrants are rattled and unsure as deportations begin under new rule halting asylum,Other,https://apnews.com/video/asylum-border-security-immigration-mexico-ecuador-b068063e62fa4e9da35149a2ae521a52
2024-07-07,ecuador,A court rules that pollution has violated the rights of a river that runs through Ecuador’s capital,Security and Law Enforcement,https://apnews.com/article/ecuador-river-pollution-court-orders-cleanup-dc8a52706a80898395a3c0a63b3dc17c
2024-06-30,ecuador,"Judge in Ecuador orders judges, attorneys and officials held in jail as part of corruption probe",Culture and Society,https://apnews.com/article/ecuador-corruption-judges-arrested-los-lobos-1396b3baf17966fadab5ab1e0e4ad9e5
2024-06-25,ecuador,Timeline of the Julian Assange legal saga over extradition to the US on espionage charges,Political Events,https://apnews.com/article/julian-assange-wikileaks-extradition-timeline-77a759d7408ebeb24d026a7c2c00feb3
2024-06-24,ecuador,WikiLeaks founder Julian Assange will plead guilty in deal with US and be freed from prison,Other,https://apnews.com/article/assange-plea-deal-wikileaks-justice-department-d329ba4614dbfa77b5eb968d07fd9bd0
2024-06-23,ecuador,"Cádiz, Bello each score a goal, Venezuela beats short-handed Ecuador 2-1 at Copa America",Other,https://apnews.com/article/ecuador-venezuela-copa-america-score-1fe2a650d004a9b19b3747d7b705f08e
2024-06-20,ecuador,Power outage leaves millions of Ecuadorians in the dark after transmission line fails,Other,https://apnews.com/article/ecuador-blackout-transmission-line-327e0637ef2c56f54181a5a920b166d9
2024-06-18,ecuador,Ecuador stops waiving visas for Chinese nationals because of an increase in irregular migration,Other,https://apnews.com/article/ecuador-china-visas-agreement-migration-5f44c3c0ad6bbb2b86aedb1e5a9798f3
2024-06-18,ecuador,"Rescuers find more victims after a landslide in Ecuador, rising the death toll to 8",Other,https://apnews.com/article/ecuador-landslide-weather-rains-natural-disaster-rescue-7ddeb0f7ff0c0d9681f1f6bdef0225cb
2024-06-17,ecuador,"Heavy rains set off landslides in Ecuador, killing at least 6 and leaving dozens missing",Other,https://apnews.com/article/ecuador-landslide-weather-rains-natural-disaster-rescue-19d5e19e9f0b719ccdf03e9134d40ce6
