,title,category,date,location,url
90,Popular Aussie Youtuber dies suddenly,Real Life,2024-07-10,Australia,https://www.news.com.au/lifestyle/real-life/popular-aussie-content-creator-pretty-pastel-please-has-died-suddenly-aged-30/news-story/6968cf6c21f2076183f99b8eef28323b
91,"Bloody train rampage, pensioners attacked",SA,2024-07-10,Australia,https://www.news.com.au/national/south-australia/man-arrested-after-brutal-alleged-train-rampage-in-elizabeth-sa/news-story/86cdf14c4c9bb95c12b974286a06f671
92,Charges after alleged theft of bizarre item,VIC Crime,2024-07-10,Australia,https://www.news.com.au/national/victoria/crime/victoria-police-charge-33yearold-man-with-alleged-theft-of-beloved-gorilla-statue/news-story/a567e26b59608ea0449655cec00a84fa
93,Police shut down inner-city street,UPDATEDVIC,2024-07-10,Australia,https://www.news.com.au/national/victoria/news/heavily-armed-police-negotiating-with-possibly-armed-man-in-seddon-melbourne/news-story/a91bd57a127a9f60e51b07f72a40d196
94,Players’ text bombshell rocks West Coast,AFL,2024-07-10,Australia,https://www.news.com.au/sport/afl/adam-simpson-to-talk-to-all-players-after-text-messages-from-three-disgruntled-eagles-revealed/news-story/227437e3d25df35c5eea677a6da0e567
95,Infamous killer slashes prison officer,UPDATEDNSW & ACT Crime,2024-07-10,Australia,https://www.news.com.au/national/nsw-act/crime/infamous-killer-mert-ney-involved-in-prison-incident/news-story/57ed8c04cd918855bc60850f7c34d330
96,Blues coach unfazed by brutal selection cull,AFL,2024-07-10,Australia,https://www.news.com.au/sport/afl/afl-2024-carlton-coach-michael-voss-puts-balance-above-best-23-players/news-story/7fb6e09c14696d2ca0535574c7ec1908
97,Aussie shares dip in wait for US open,Australian Markets,2024-07-10,Australia,https://www.news.com.au/finance/markets/australian-markets/asx200-slips-in-quiet-friday-trading-before-us-nonfarm-payroll-data/news-story/b60323816a22649f5741086207eecda4
98,Dating apps crack down on dodgy acts,Dating,2024-07-10,Australia,https://www.news.com.au/lifestyle/relationships/dating/tinder-hinge-rsvp-grindr-sign-on-to-worldleading-dating-safety-industry-code/news-story/800bbc30e99ecde86fbfc8518d641d62
99,"Man kidnapped, taped to street sign: court",NSW / ACT Courts & Law,2024-07-10,Australia,https://www.news.com.au/national/nsw-act/courts-law/man-taped-to-street-sign-in-bizarre-alleged-kidnapping-court/news-story/0d181e67b8697d2600e53fce77d02e85
